year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,0,Summer,0,0,0,13120,D,COMM IN PROF WORLD,LEC,"HONG, P.",6,11,0,0,0,0,0,0,3.34
2021-22,0,Summer,0,0,0,13130,E,COMM IN PROF WORLD,LEC,"HONG, P.",3,12,2,1,0,0,0,0,2.83
2021-22,0,Summer,0,0,0,13140,F,COMM IN PROF WORLD,LEC,"TATERI, J.",2,12,1,1,0,0,0,0,2.94
2021-22,0,Summer,0,0,0,23310,A,SHAKESPEARE,LEC,"KAUFMAN, S.",30,5,1,0,2,0,1,0,3.54
2021-22,0,Summer,0,0,0,23330,A,CRAFT OF POETRY,LEC,"LATIOLAIS, P.",8,5,0,0,0,0,0,0,3.59
2021-22,0,Summer,0,0,0,23340,A,CRAFT OF FICTION,LEC,"LATIOLAIS, P.",7,6,2,0,1,0,0,0,3.11
2021-22,0,Summer,0,0,0,23350,A,19C POETRY,LEC,"WARMINSKI, A.",6,12,6,0,0,1,0,0,3.03
2021-22,0,Summer,0,0,0,23360,A,UNRELIABLE NARRATOR,LEC,"BARTLETT, J.",27,6,3,0,0,0,0,0,3.64
2021-22,0,Summer,0,0,0,24040,A,ORIGIN OF LANGUAGE,LEC,"PAN, D.",11,6,6,1,1,6,1,0,2.95
2021-22,0,Summer,0,0,0,24020,A,EUROPE & MODERNITY,LEC,"SMITH, J.",13,1,0,0,1,1,0,0,3.63
2021-22,0,Summer,0,0,0,24030,A,EUROPE'S FUTURES,LEC,"EVERS, K.",45,0,1,0,3,1,0,0,3.7
2021-22,0,Summer,0,0,0,24110,A,INTRO FILM ANALYSIS,LEC,"KEEVER, J.",45,10,0,0,0,9,0,0,3.77
2021-22,0,Summer,0,0,0,24120,A,BROADCAST MEDIA,LEC,"BUSTILLO, D.",49,4,0,1,2,1,0,0,3.67
